Time,channel,PacketID,Temperature(degree C),Humidity(%),Pressure(hPa),Voltage(V),RSSI,Lat,Lon,Height(m),Distance(km),Sat,SNR,Speed(km/hr),Direction(degree),angle(degree)
2022/11/23 18:39:01.000000,2,93,24.58,72.3,963.365156,1.756989247311828,-0.46,25.13643,121.5394,436.31,0.0011131884500133304,6,0.09,0.05,0.0,-60.024443621906556
2022/11/23 18:39:02.000000,2,94,24.6,72.3,963.399218,1.7548387096774194,-0.46,25.13643,121.5394,436.26,0.0011131884500133304,6,0.09,0.07,0.0,-60.654591953551645
2022/11/23 18:39:03.000000,2,95,24.6,72.2,963.408281,1.7548387096774194,-0.45,25.13643,121.5394,436.09,0.0011131884500133304,6,0.09,0.35,0.0,-62.62659276636981
2022/11/23 18:39:04.000000,2,96,24.58,72.2,963.381093,1.756989247311828,-0.44,25.13643,121.5394,436.16,0.0011131884500133304,6,0.09,0.14,0.0,-61.84490031014778
2022/11/23 18:39:05.000000,2,97,24.61,72.2,963.383125,1.7548387096774194,-0.44,25.13643,121.5394,436.31,0.0011131884500133304,6,0.09,0.2,0.0,-60.024443621906556
2022/11/23 18:39:06.000000,2,98,24.62,72.1,963.383984,1.756989247311828,-0.44,25.13643,121.5394,436.19,0.0011131884500133304,6,0.09,0.07,0.0,-61.49720978426636
2022/11/23 18:39:07.000000,2,99,24.63,72.1,963.384765,1.7548387096774194,-0.45,25.13643,121.5394,436.12,0.0011131884500133304,6,0.1,0.2,0.0,-62.296534700142715
2022/11/23 18:39:08.000000,2,100,24.63,72.1,963.3596090000001,1.7548387096774194,-0.44,25.13643,121.5394,436.17,0.0011131884500133304,6,0.09,0.15,0.0,-61.729871731498086
2022/11/23 18:39:09.000000,2,101,24.63,72.0,963.36875,1.756989247311828,-0.44,25.13643,121.5394,436.17,0.0011131884500133304,6,0.09,0.09,0.0,-61.729871731498086
2022/11/23 18:39:10.000000,2,102,24.64,72.0,963.381875,1.7526881720430108,-0.44,25.13643,121.5394,436.09,0.0011131884500133304,6,0.1,0.08,0.0,-62.62659276636981
2022/11/23 18:39:11.000000,2,103,24.64,72.0,963.323437,1.7526881720430108,-0.44,25.13643,121.5394,435.99,0.0011131884500133304,6,0.1,0.24,0.0,-63.67607665049798
2022/11/23 18:39:12.000000,2,104,24.64,72.0,963.37,1.756989247311828,-0.44,25.13643,121.5394,435.9,0.0011131884500133304,6,0.09,0.11,0.0,-64.55855969180955
2022/11/23 18:39:13.000000,2,105,24.66,71.9,963.353828,1.7548387096774194,-0.45,25.13643,121.5394,435.93,0.0011131884500133304,6,0.09,0.13,0.0,-64.27059394627602
2022/11/23 18:39:14.000000,2,106,24.67,71.9,963.331562,1.7483870967741937,-0.44,25.13643,121.5394,435.86,0.0011131884500133304,6,0.09,0.23,0.0,-64.93327444499471
2022/11/23 18:39:15.000000,2,107,24.67,71.9,963.349687,1.750537634408602,-0.44,25.13643,121.5394,435.69,0.0011131884500133304,6,0.09,0.01,0.0,-66.41658969902703
2022/11/23 18:39:16.000000,2,108,24.67,71.9,963.371171,1.7548387096774194,-0.44,25.13642,121.5394,435.62,0.002226376900380717,6,0.09,0.1,0.0,-49.643375140635875
2022/11/23 18:39:17.000000,2,109,24.68,71.9,963.377656,1.750537634408602,-0.45,25.13642,121.5394,435.47,0.002226376900380717,6,0.09,0.04,0.0,-51.20955269879653
2022/11/23 18:39:18.000000,2,110,24.68,71.8,963.39375,1.756989247311828,-0.45,25.13642,121.5394,435.42,0.002226376900380717,6,0.09,0.06,0.0,-51.7090719207872
2022/11/23 18:39:19.000000,2,111,24.68,71.8,963.367421,1.756989247311828,-0.44,25.13642,121.5394,435.35,0.002226376900380717,6,0.1,0.02,0.0,-52.390327964753055
2022/11/23 18:39:20.000000,2,112,24.7,71.8,963.37914,1.7548387096774194,-0.44,25.13642,121.5394,435.29,0.002226376900380717,6,0.09,0.04,0.0,-52.95799784424116
2022/11/23 18:39:21.000000,2,113,24.71,71.8,963.3775,1.756989247311828,-0.44,25.13642,121.5394,435.24,0.002226376900380717,6,0.09,0.06,0.0,-53.41994290045907
2022/11/23 18:39:22.000000,2,114,24.71,71.7,963.354453,1.756989247311828,-0.44,25.13642,121.5394,435.13,0.002226376900380717,6,0.1,0.1,0.0,-54.402002629100835
2022/11/23 18:39:23.000000,2,115,24.71,71.7,963.370937,1.756989247311828,-0.44,25.13642,121.5394,435.04,0.002226376900380717,6,0.09,0.05,0.0,-55.17201256650812
2022/11/23 18:39:24.000000,2,116,24.72,71.7,963.3450780000001,1.7548387096774194,-0.44,25.13642,121.5394,434.87,0.002226376900380717,6,0.09,0.1,0.0,-56.54941558720293
2022/11/23 18:39:25.000000,2,117,24.71,71.7,963.3429679999999,1.7548387096774194,-0.44,25.13642,121.5394,434.84,0.002226376900380717,6,0.09,0.04,0.0,-56.7825496845092
2022/11/23 18:39:26.000000,2,118,24.72,71.7,963.3572650000001,1.756989247311828,-0.44,25.13642,121.5394,434.83,0.002226376900380717,6,0.09,0.13,0.0,-56.859622863329385
2022/11/23 18:39:27.000000,2,119,24.74,71.7,963.3585929999999,1.7526881720430108,-0.45,25.13642,121.5394,434.71,0.002226376900380717,6,0.1,0.06,0.0,-57.76030135953041
2022/11/23 18:39:28.000000,2,120,24.72,71.7,963.356875,1.7526881720430108,-0.44,25.13642,121.5394,434.51,0.002226376900380717,6,0.09,0.21,0.0,-59.16770344424876
2022/11/23 18:39:29.000000,2,121,24.75,71.6,963.367656,1.756989247311828,-0.44,25.13642,121.5394,434.44,0.002226376900380717,6,0.09,0.19,0.0,-59.634446283155725
2022/11/23 18:39:30.000000,2,122,24.76,71.6,963.363437,1.756989247311828,-0.44,25.13642,121.5394,434.43,0.002226376900380717,6,0.09,0.02,0.0,-59.70008227912635
2022/11/23 18:39:31.000000,2,123,24.76,71.6,963.364687,1.7526881720430108,-0.44,25.13642,121.5394,434.33,0.002226376900380717,6,0.09,0.07,0.0,-60.34256032279136
2022/11/23 18:39:32.000000,2,124,24.77,71.6,963.3535929999999,1.756989247311828,-0.44,25.13642,121.5394,434.2,0.002226376900380717,6,0.09,0.03,0.0,-61.14157067646449
2022/11/23 18:39:33.000000,2,125,24.77,71.6,963.375,1.756989247311828,-0.44,25.13642,121.5394,434.08,0.002226376900380717,6,0.09,0.09,0.0,-61.844900306357424
2022/11/23 18:39:34.000000,2,126,24.79,71.6,963.349062,1.756989247311828,-0.44,25.13642,121.5394,434.02,0.002226376900380717,6,0.1,0.09,0.0,-62.18488101776806
2022/11/23 18:39:35.000000,2,127,24.78,71.6,963.3423429999999,1.756989247311828,-0.44,25.13642,121.5394,434.04,0.002226376900380717,6,0.09,0.02,0.0,-62.072396366212935
2022/11/23 18:39:36.000000,2,128,24.79,71.5,963.357187,1.7548387096774194,-0.44,25.13642,121.5394,433.98,0.002226376900380717,6,0.09,0.07,0.0,-62.40736573764268
2022/11/23 18:39:37.000000,2,129,24.79,71.5,963.349375,1.756989247311828,-0.44,25.13642,121.5394,433.93,0.002226376900380717,6,0.09,0.13,0.0,-62.680898125422345
2022/11/23 18:39:38.000000,2,130,24.8,71.5,963.319296,1.756989247311828,-0.44,25.13642,121.5394,433.94,0.002226376900380717,6,0.09,0.18,0.0,-62.626592762649175
2022/11/23 18:39:39.000000,2,131,24.81,71.5,963.3423429999999,1.7548387096774194,-0.44,25.13642,121.5394,434.13,0.002226376900380717,6,0.09,0.11,0.0,-61.55570363317299
2022/11/23 18:39:40.000000,2,132,24.82,71.4,963.341875,1.7548387096774194,-0.44,25.13642,121.5394,434.15,0.002226376900380717,6,0.09,0.16,0.0,-61.43849515321425
2022/11/23 18:39:41.000000,2,133,24.81,71.4,963.369062,1.7548387096774194,-0.43,25.13642,121.5394,434.04,0.002226376900380717,6,0.09,0.17,0.0,-62.072396366212935
2022/11/23 18:39:42.000000,2,134,24.82,71.4,963.368515,1.756989247311828,-0.44,25.13642,121.5394,434.02,0.002226376900380717,6,0.09,0.18,0.0,-62.18488101776806
2022/11/23 18:39:43.000000,2,135,24.82,71.3,963.357109,1.756989247311828,-0.44,25.13642,121.5394,434.13,0.002226376900380717,6,0.09,0.19,0.0,-61.55570363317299
2022/11/23 18:39:44.000000,2,136,24.85,71.2,963.3652340000001,1.7548387096774194,-0.45,25.13642,121.5394,434.09,0.002226376900380717,6,0.09,0.07,0.0,-61.78749363297316
2022/11/23 18:39:45.000000,2,137,24.84,71.1,963.349218,1.7526881720430108,-0.45,25.13642,121.5394,434.02,0.002226376900380717,6,0.09,0.1,0.0,-62.18488101776806
2022/11/23 18:39:46.000000,2,138,24.84,71.1,963.375625,1.756989247311828,-0.44,25.13642,121.5394,434.02,0.002226376900380717,6,0.09,0.14,0.0,-62.18488101776806
2022/11/23 18:39:47.000000,2,139,24.84,71.0,963.356093,1.756989247311828,-0.44,25.13642,121.5394,434.12,0.002226376900380717,6,0.09,0.06,0.0,-61.61397783302476
2022/11/23 18:39:48.000000,2,140,24.85,71.0,963.363125,1.750537634408602,-0.44,25.13642,121.5394,434.18,0.002226376900380717,6,0.09,0.16,0.0,-61.26101530857916
2022/11/23 18:39:49.000000,2,141,24.85,70.9,963.37,1.7526881720430108,-0.45,25.13642,121.5394,434.11,0.002226376900380717,6,0.09,0.09,0.0,-61.67203349503792
2022/11/23 18:39:50.000000,2,142,24.86,70.9,963.363906,1.756989247311828,-0.44,25.13642,121.5394,434.11,0.002226376900380717,6,0.09,0.02,0.0,-61.67203349503792
2022/11/23 18:39:51.000000,2,143,24.86,70.9,963.383671,1.756989247311828,-0.44,25.13642,121.5394,434.09,0.002226376900380717,6,0.09,0.02,0.0,-61.78749363297316
2022/11/23 18:39:52.000000,2,144,24.87,70.9,963.365078,1.756989247311828,-0.45,25.13642,121.5394,434.12,0.002226376900380717,6,0.09,0.05,0.0,-61.61397783302476
2022/11/23 18:39:53.000000,2,145,24.87,70.8,963.3765619999999,1.756989247311828,-0.44,25.13642,121.5394,434.23,0.002226376900380717,6,0.09,0.08,0.0,-60.96069345316275
2022/11/23 18:39:54.000000,2,146,24.89,70.8,963.361718,1.756989247311828,-0.45,25.13642,121.5394,434.24,0.002226376900380717,6,0.09,0.19,0.0,-60.89994027599691
2022/11/23 18:39:55.000000,2,147,24.89,70.8,963.387343,1.756989247311828,-0.45,25.13642,121.5394,434.24,0.002226376900380717,6,0.09,0.05,0.0,-60.89994027599691
